Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% amount high higher/better,% amount low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,2100,7,-4.546190476190477,-6.771428571428571,-2.394761904761905,-4.5,"[-6.8, -2.4]",True,Higher for amount low,0.3482925087232474,2100,"+0.35 (n=2,100)",42.4%,55.6%,2.0%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Feasibility/readiness,feasibility_implementation_readiness,Random actor-balanced A/B-coded sample,120,7,0.3496732026143791,0.1680672268907563,0.5229575163398681,0.35,"[0.17, 0.52]",True,Higher for amount high,0.3670553421808448,120,+0.37 (n=120),65.0%,30.0%,5.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Measurable impact,measurable_impact,Random actor-balanced A/B-coded sample,120,7,0.3412698412698413,0.1932773109243697,0.5261437908496732,0.34,"[0.19, 0.53]",True,Higher for amount high,0.5369543052595107,120,+0.54 (n=120),63.3%,29.2%,7.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Stakeholder/context fit,stakeholder_context_fit,Random actor-balanced A/B-coded sample,120,7,0.3323996265172736,0.1942110177404295,0.4473155929038273,0.33,"[0.19, 0.45]",True,Higher for amount high,0.42570539290838993,120,+0.43 (n=120),56.7%,23.3%,20.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.",Which abstract better fits the affected community or deployment setting?,CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Incident postmortem,Generic text feature,Words,words,Full paired dataset,2100,7,-17.49285714285714,-25.304285714285715,-10.087964285714294,-17,"[-25, -10]",True,Higher for amount low,0.419032070973708,2100,"+0.42 (n=2,100)",41.6%,57.6%,0.8%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,0.4270154681352475,0.095178876037803,0.7753174801207123,0.43,"[0.10, 0.78]",True,Higher for amount high,-0.015477412418301084,2100,"-0.02 (n=2,100)",51.0%,48.9%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/amount_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.1123570332368552,0.0258997531448257,0.2565597864417434,0.11,"[0.03, 0.26]",True,Higher for amount high,-0.09233516401519416,2100,"-0.09 (n=2,100)",51.5%,48.5%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/amount_feature_deltas_by_task.csv
Incident postmortem,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0049898100087602,0.0031818983322519,0.0070648193515496,0.0050,"[0.0032, 0.0071]",True,Higher for amount high,-0.14514393805811862,2100,"-0.15 (n=2,100)",56.5%,43.5%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_feature_deltas_by_task.csv
Incident postmortem,LLM rubric marker,Impact specificity,impact_specificity,Random actor-balanced A/B-coded sample,120,7,0.1493930905695611,0.0317460317460317,0.2296918767507003,0.15,"[0.03, 0.23]",True,Higher for amount high,0.29423314770711967,120,+0.29 (n=120),57.5%,42.5%,0.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Fluency/idiomaticity,fluency_idiomaticity,Random actor-balanced A/B-coded sample,119,7,-0.1246498599439775,-0.1932773109243697,-0.057422969187675,-0.12,"[-0.19, -0.06]",True,Higher for amount low,0.398970636610781,119,+0.40 (n=119),24.4%,37.0%,38.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.",Which translation reads more naturally and idiomatically in English?,CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Terminology precision,terminology_precision,Random actor-balanced A/B-coded sample,119,7,-0.1083099906629318,-0.1671335200746965,-0.0494864612511671,-0.11,"[-0.17, -0.05]",True,Higher for amount low,0.3223326161193912,119,+0.32 (n=119),10.9%,21.8%,67.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.",Which translation uses more domain-appropriate terminology?,CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Translation,LLM rubric marker,Structural clarity,structural_clarity,Random actor-balanced A/B-coded sample,119,7,-0.1078431372549019,-0.1470588235294117,-0.0658263305322128,-0.11,"[-0.15, -0.07]",True,Higher for amount low,0.1677064640964381,119,+0.17 (n=119),5.9%,16.8%,77.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
