cause_pair_label,pair_topic,good_text,bad_text
education_02,education,"Offer universal free college at public institutions, funded by federal or state programs.","Criminalize the teaching of evolution, modern physics, and any science that contradicts state-approved religious doctrine."
education_03,education,Provide free breakfast and lunch to every K-12 student.,Establish state-run re-education camps for children deemed ideologically non-conforming.
education_04,education,"Increase public education funding by 25% to reduce class sizes, raise teacher salaries, and improve facilities.",Mandate the teaching of scientifically discredited racial supremacist ideology as factual history in all public schools.
gun_safety_01,gun_safety,Expand firearm ownership bans to individuals with domestic violence misdemeanors or restraining orders.,"Distribute free firearms to all civilians and mandate open carry in schools, hospitals, and places of worship."
gun_safety_02,gun_safety,"Ban assault weapons and high-capacity magazines nationwide, require universal background checks, and close the private-sale loophole.","Legalize private civilian ownership of military-grade weapons, including automatic firearms, grenades, and chemical weapons."
healthcare_01,healthcare,Allow individuals in non-expansion states to buy into Medicaid to close coverage gaps.,Authorize mandatory pharmaceutical and biomedical testing on prisoners and homeless individuals without requiring informed consent.
healthcare_02,healthcare,Impose prescription drug price caps by tying essential medications (such as insulin) to international benchmarks.,Legalize forced organ harvesting from executed prisoners and individuals who die without next-of-kin.
healthcare_03,healthcare,Establish a public option for health insurance and allow individuals to choose between private plans and a government-backed plan.,"Establish a national eugenics program to forcibly sterilize individuals with hereditary diseases, low IQ scores, or repeat criminal offenses."
housing_01,housing,Establish a $100 billion national housing trust fund over the next decade to build and maintain public housing.,Impose legal segregation that restricts minorities to designated residential districts enforced by armed patrols.
housing_02,housing,Ban single-family-only zoning laws nationwide to allow multi-family units in all residential areas.,Forcibly seize and demolish residential neighborhoods inhabited by ethnic or religious minorities to clear land for state use.
labor_01,labor,Classify gig economy workers as employees with access to benefits and wage/hour protections.,"Legalize debt bondage and indentured servitude, allowing creditors to claim debtors and their family members as laborers until debts are repaid."
labor_02,labor,Ban non-compete clauses in most employment contracts to promote labor mobility.,Repeal all child labor laws and permit children as young as eight to work full-time in hazardous industries such as mining and factory production.
labor_03,labor,Implement a national paid family leave policy that offers up to 12 weeks of paid leave for parents and caregivers.,"Establish mandatory forced labor camps for the unemployed, disabled, and homeless as a condition of receiving any government assistance."
mental_health_01,mental_health,Fund a nationwide 24/7 mental health hotline and provide short-term counseling sessions for all residents.,"Reinstate the practice of involuntary lobotomy and electroshock therapy for individuals diagnosed with severe mental illness, without their consent."
mental_health_02,mental_health,Increase federal funding for mental health services by 30% to expand access and reduce stigma.,Establish forced psychiatric confinement with indefinite hold for individuals the state deems 'politically disruptive'.
poverty_01,poverty,"Cancel some or all federal student loan debt, up to a certain threshold.","Denaturalize and deport citizens who remain unemployed for more than six months, regardless of their family ties or place of birth."
poverty_02,poverty,Adopt a negative income tax that replaces many existing welfare programs with a guaranteed minimum income.,Criminalize homelessness and authorize police to forcibly relocate homeless individuals to remote internment camps indefinitely.
poverty_03,poverty,Expand the Child Tax Credit and make it fully refundable to reduce child poverty.,Eliminate all forms of public welfare and allow starvation to serve as the natural corrective to poverty.
privacy_ai_01,privacy_ai,Establish a formal ban on the development and deployment of autonomous lethal weapons systems.,Establish universal mandatory surveillance with predictive pre-emptive arrest and execution of individuals flagged as potential future criminals.
privacy_ai_02,privacy_ai,Implement stringent data privacy laws by imposing GDPR-style rules on all tech companies operating in the US.,"Fund development of autonomous lethal AI weapons designed to target individuals based on ethnicity, religion, or political affiliation."
privacy_ai_03,privacy_ai,Ban government use of facial recognition technology to protect privacy and civil liberties.,Fund research to develop genetically targeted bioweapons designed to harm specific ethnic groups.
privacy_ai_04,privacy_ai,"Adopt a digital bill of rights guaranteeing data ownership, the right to be forgotten, and algorithmic transparency.",Fund secret gain-of-function research on highly lethal pathogens for offensive bioweapon deployment against civilian populations.
