actor,task,run_dir,expected_pairs,valid_pairs,complete_pairs,panel_user_strong,panel_user_normal,panel_tie,panel_unresolved
qwen3.5-9b-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_00-42-03Z__hash-f3f591fe08cf,150,150,150,38,17,95,0
qwen3.5-9b-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-08-25Z__hash-1a89e84a517c,150,150,150,18,25,107,0
qwen3.6-plus-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_00-42-13Z__hash-7fcf259cbef2,150,150,150,33,11,106,0
qwen3.6-plus-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-08-34Z__hash-bc740c1487f6,150,150,150,43,8,99,0
deepseek-v3.2-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-12-15Z__hash-fda380bf80ec,150,150,150,41,26,83,0
deepseek-v3.2-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-28-35Z__hash-f9ef5570c321,150,150,150,34,25,91,0
glm-5.1-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-11-31Z__hash-155bcb1e2fb4,150,145,145,57,33,55,5
glm-5.1-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-25-57Z__hash-b87630d97fe2,150,147,147,58,38,51,3
gpt-5.4-mini-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-41-18Z__hash-dd4659338406,150,150,150,33,21,96,0
gpt-5.4-mini-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-18-43Z__hash-512230f19fe3,150,150,150,25,21,104,0
kimi-k2.5-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-14-57Z__hash-c715def3cb5a,150,150,150,43,28,79,0
kimi-k2.5-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-28-57Z__hash-0e10391fa849,150,149,149,45,21,83,1
mimo-v25-pro-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-15-51Z__hash-3d27f85ee0cf,150,148,148,50,35,63,2
mimo-v25-pro-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-31-46Z__hash-d8ef4d8d2723,150,150,150,52,44,54,0
qwen3.5-9b-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-14-09Z__hash-88d2532137cd,150,150,150,32,20,98,0
qwen3.5-9b-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-30-14Z__hash-75f98aee58c2,150,150,150,35,23,92,0
qwen3.6-plus-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-13-53Z__hash-e747425f2b2c,150,150,150,43,29,78,0
qwen3.6-plus-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-27-47Z__hash-3c7f4afc0797,150,150,150,50,22,78,0
deepseek-v3.2-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-48-28Z__hash-adc847d791d1,150,148,148,40,35,73,2
deepseek-v3.2-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_05-08-51Z__hash-18a0d6e5dfe0,150,150,150,39,43,68,0
glm-5.1-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-43-04Z__hash-ff6042806f13,150,144,144,52,29,63,6
glm-5.1-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-55-49Z__hash-a287abf4fba4,150,146,146,48,27,71,4
gpt-5.4-mini-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-59-23Z__hash-3c99091da3fa,150,150,150,31,40,79,0
gpt-5.4-mini-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-36-24Z__hash-93257a984d7a,150,150,150,28,32,90,0
kimi-k2.5-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-50-52Z__hash-9294ab0166c6,150,150,150,35,31,84,0
kimi-k2.5-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-00-22Z__hash-d0e07b26f6e0,150,150,150,36,31,83,0
mimo-v25-pro-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-51-15Z__hash-137a88250d8c,150,150,150,66,41,43,0
mimo-v25-pro-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-09-58Z__hash-074f9c8930b8,150,150,150,52,37,61,0
qwen3.5-9b-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-39-58Z__hash-c1cb1fbc1c54,150,150,150,32,24,94,0
qwen3.5-9b-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-07-55Z__hash-86abcf97a7f0,150,150,150,32,27,91,0
qwen3.6-plus-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-45-08Z__hash-4e0f8f7f6e3f,150,150,150,32,30,88,0
qwen3.6-plus-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-58-46Z__hash-9cc0ff858c46,150,150,150,38,23,89,0
deepseek-v3.2-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_02-54-08Z__hash-06073082262b,150,148,148,31,29,88,2
deepseek-v3.2-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_06-20-25Z__hash-384f340decd4,150,150,150,33,29,88,0
glm-5.1-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_02-20-25Z__hash-d475fb8cefa0,150,148,148,33,16,99,2
glm-5.1-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_05-35-16Z__hash-3bb9cbf86404,150,150,150,44,20,86,0
gpt-5.4-mini-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_01-24-51Z__hash-00ff46c00eb7,150,150,150,21,34,95,0
gpt-5.4-mini-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-56-32Z__hash-bb3d4a47118b,150,150,150,30,24,96,0
kimi-k2.5-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_02-38-43Z__hash-3f81c47527c7,150,150,150,34,30,86,0
kimi-k2.5-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-56-04Z__hash-f4ae42e04d0a,150,150,150,26,35,89,0
mimo-v25-pro-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_02-38-28Z__hash-e570a8f605ed,150,150,150,36,35,79,0
mimo-v25-pro-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-57-39Z__hash-6a15a6a6fc2c,150,150,150,41,31,78,0
qwen3.5-9b-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_02-17-45Z__hash-039550f5396a,150,149,149,58,47,44,1
qwen3.5-9b-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-55-24Z__hash-aa0ad1c2fefb,150,150,150,52,46,52,0
qwen3.6-plus-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_02-24-53Z__hash-22a3fad454a1,150,150,150,33,25,92,0
qwen3.6-plus-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_05-38-38Z__hash-faa050554750,150,150,150,31,22,97,0
