actor,actor_label,task,task_label,run_id,run_dir,n_pairs,complete_pairs,left_wins,right_wins,ties,unresolved,n_excluding_ties,left_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive,familywise_ci_method
gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-59-23Z__hash-3c99091da3fa;incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-36-24Z__hash-93257a984d7a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-59-23Z__hash-3c99091da3fa;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-36-24Z__hash-93257a984d7a,300,300,59,72,169,0,131,0.45038167938931295,0.31632116823077844,0.5896879805761931,False,0.29440615652351326,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_01-24-51Z__hash-00ff46c00eb7;translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-56-32Z__hash-bb3d4a47118b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_01-24-51Z__hash-00ff46c00eb7;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-56-32Z__hash-bb3d4a47118b,300,300,51,58,191,0,109,0.46788990825688076,0.31992749107509283,0.6199248122343672,False,0.5657001139736335,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,essay,Essay writing,essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_00-41-39Z__hash-f0b0df2d5052;essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-08-02Z__hash-b26912f9c9f0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_00-41-39Z__hash-f0b0df2d5052;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-08-02Z__hash-b26912f9c9f0,300,300,73,19,208,0,92,0.7934782608695652,0.6372375334039537,0.9053969517116588,True,1.2340387331102889e-08,3.0850968327757224e-07,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-14-57Z__hash-c715def3cb5a;grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-28-57Z__hash-0e10391fa849,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-14-57Z__hash-c715def3cb5a;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-28-57Z__hash-0e10391fa849,300,299,88,49,162,1,137,0.6423357664233577,0.5061048529203314,0.7641567827476798,True,0.001091023616235747,0.021820472324714943,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-50-52Z__hash-9294ab0166c6;incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-00-22Z__hash-d0e07b26f6e0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_01-50-52Z__hash-9294ab0166c6;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-00-22Z__hash-d0e07b26f6e0,300,300,71,62,167,0,133,0.5338345864661654,0.39606136380922063,0.6680843874980931,False,0.48802234383086546,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,translation,Translation,translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_02-38-43Z__hash-3f81c47527c7;translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-56-04Z__hash-f4ae42e04d0a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_02-38-43Z__hash-3f81c47527c7;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_05-56-04Z__hash-f4ae42e04d0a,300,300,60,65,175,0,125,0.48,0.34068147122237763,0.6215333577267717,False,0.7206725161126957,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_00-41-51Z__hash-9eee9dc1472f;essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-08-14Z__hash-a8cb77161e6f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_00-41-51Z__hash-9eee9dc1472f;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-08-14Z__hash-a8cb77161e6f,300,299,102,63,134,1,165,0.6181818181818182,0.4940036487151069,0.7324201689761125,False,0.002977025108454364,0.05358645195217855,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-15-51Z__hash-3d27f85ee0cf;grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-31-46Z__hash-d8ef4d8d2723,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-15-51Z__hash-3d27f85ee0cf;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-31-46Z__hash-d8ef4d8d2723,300,298,102,79,117,2,181,0.56353591160221,0.44496547942272563,0.6772362021041596,False,0.10173298321807793,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-51-15Z__hash-137a88250d8c;incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-09-58Z__hash-074f9c8930b8,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_01-51-15Z__hash-137a88250d8c;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-09-58Z__hash-074f9c8930b8,300,300,118,78,104,0,196,0.6020408163265306,0.4881998843620831,0.7086548000320527,False,0.0052087197349479815,0.08854823549411568,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_02-38-28Z__hash-e570a8f605ed;translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-57-39Z__hash-6a15a6a6fc2c,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_02-38-28Z__hash-e570a8f605ed;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_05-57-39Z__hash-6a15a6a6fc2c,300,300,77,66,157,0,143,0.5384615384615384,0.40544547072177817,0.6677505219656131,False,0.40310390913216987,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_00-42-03Z__hash-f3f591fe08cf;essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-08-25Z__hash-1a89e84a517c,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_00-42-03Z__hash-f3f591fe08cf;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-08-25Z__hash-1a89e84a517c,300,300,56,42,202,0,98,0.5714285714285714,0.4096287300882547,0.7231632274723434,False,0.18884671980890286,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-14-09Z__hash-88d2532137cd;grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-30-14Z__hash-75f98aee58c2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-14-09Z__hash-88d2532137cd;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_04-30-14Z__hash-75f98aee58c2,300,300,67,43,190,0,110,0.6090909090909091,0.45602469941872464,0.748435861464286,False,0.02785088812566223,0.4456142100105957,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-39-58Z__hash-c1cb1fbc1c54;incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-07-55Z__hash-86abcf97a7f0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-39-58Z__hash-c1cb1fbc1c54;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-07-55Z__hash-86abcf97a7f0,300,300,64,51,185,0,115,0.5565217391304348,0.40761126441441164,0.6986327677917317,False,0.2630539575429353,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_02-17-45Z__hash-039550f5396a;translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-55-24Z__hash-aa0ad1c2fefb,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_02-17-45Z__hash-039550f5396a;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_05-55-24Z__hash-aa0ad1c2fefb,300,299,110,93,96,1,203,0.541871921182266,0.4302490713546743,0.6506326343893674,False,0.2613960516826494,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_00-42-13Z__hash-7fcf259cbef2;essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-08-34Z__hash-bc740c1487f6,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_00-42-13Z__hash-7fcf259cbef2;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-08-34Z__hash-bc740c1487f6,300,300,76,19,205,0,95,0.8,0.6475256193292129,0.9085597509357453,True,2.9990721379379377e-09,7.797587558638638e-08,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-13-53Z__hash-e747425f2b2c;grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-27-47Z__hash-3c7f4afc0797,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-13-53Z__hash-e747425f2b2c;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-27-47Z__hash-3c7f4afc0797,300,300,93,51,156,0,144,0.6458333333333334,0.5131855427050248,0.7644296161794754,True,0.0005851398425063664,0.012287936692633693,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-45-08Z__hash-4e0f8f7f6e3f;incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-58-46Z__hash-9cc0ff858c46,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-45-08Z__hash-4e0f8f7f6e3f;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-58-46Z__hash-9cc0ff858c46,300,300,70,53,177,0,123,0.5691056910569106,0.4248597867477171,0.7055732841995956,False,0.14881624623838527,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_02-24-53Z__hash-22a3fad454a1;translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_05-38-38Z__hash-faa050554750,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_02-24-53Z__hash-22a3fad454a1;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_05-38-38Z__hash-faa050554750,300,300,64,47,189,0,111,0.5765765765765766,0.42451046576363644,0.7191006571637926,False,0.12847543208575976,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
