condition,resolved_n,target_wins,target_losses,ties,all_pairs_after_screen,pooled_win_rate,pooled_wilson_ci_lo,pooled_wilson_ci_hi,equal_cell_mean,equal_cell_ci_lo,equal_cell_ci_hi,bootstrap_cells,bootstrap_iterations,task,actor,domain,condition_label,task_label,actor_label
moral,887,578,309,942,1829,0.6516347237880497,0.6196867653307261,0.6822749331695943,0.6517924623194896,0.5699953491205823,0.729625382882076,7,2000,grant_proposal_abstract,,,Moral,Grant abstract,
moral,1001,601,400,945,1946,0.6003996003996004,0.5697280043149561,0.6303035511464382,0.6059026886357524,0.5428414894874584,0.6732347362101425,7,2000,incident_postmortem,,,Moral,Incident postmortem,
moral,888,471,417,970,1858,0.5304054054054054,0.49751976760270655,0.5630291107499612,0.5313799853724106,0.4930680811980666,0.5688689366081746,7,2000,translation,,,Moral,Translation,
moral,585,379,206,582,1167,0.6478632478632479,0.6083079849301056,0.6854892628833837,0.6440691669915212,0.5492677058269694,0.7472812582920018,4,2000,,deepseek-v3.2-or,,Moral,,DeepSeek V3.2
moral,481,263,218,651,1132,0.5467775467775468,0.5020946061925803,0.590719238789769,0.5528706354633933,0.47938671909712965,0.6371686535764376,4,2000,,gpt-5.4-mini-or,,Moral,,GPT-5.4 mini
moral,538,283,255,636,1174,0.5260223048327137,0.48379447821579574,0.5678811541009734,0.5193682814811311,0.4636672575560314,0.5802599203002445,4,2000,,glm-5.1-or,,Moral,,GLM-5.1
moral,555,339,216,586,1141,0.6108108108108108,0.5696180888505403,0.6504801126314382,0.61039670153444,0.5458970578435293,0.6713365460267506,4,2000,,kimi-k2.5-or,,Moral,,Kimi K2.5
moral,507,293,214,414,921,0.5779092702169625,0.5344904132639752,0.6201563927771316,0.5646895761741123,0.48505163891091724,0.6406657328210164,4,2000,,mimo-v25-pro-or,,Moral,,MiMo V2.5 Pro
moral,468,277,191,489,957,0.5918803418803419,0.5467793533354852,0.6354852577797518,0.612226350044067,0.4853597354960342,0.737285535565352,4,2000,,qwen3.5-9b-or,,Moral,,Qwen3.5 9B
moral,416,276,140,704,1120,0.6634615384615384,0.6167419715009045,0.7071898297604923,0.6666599068547658,0.5749461521070718,0.750380975877193,4,2000,,qwen3.6-plus-or,,Moral,,Qwen3.6 Plus
utility,3865,1983,1882,4535,8400,0.5130659767141009,0.49730304375796347,0.5288029626718754,0.511692703345056,0.4872504349936303,0.5359915253269966,112,2000,,,,High vs low utility,,
utility,775,388,387,1325,2100,0.5006451612903225,0.46552693615806756,0.5357570221991494,0.5019442077216024,0.4473028284638309,0.5516044106841289,28,2000,essay,,,High vs low utility,Essay writing,
utility,1058,568,490,1042,2100,0.5368620037807184,0.5067363942859378,0.5667208995050097,0.5384462503635107,0.4939728730035547,0.5821963125667724,28,2000,grant_proposal_abstract,,,High vs low utility,Grant abstract,
utility,1053,552,501,1047,2100,0.5242165242165242,0.49401889592623555,0.5542381057028544,0.5271313776763974,0.48171407260563065,0.573257784086415,28,2000,incident_postmortem,,,High vs low utility,Incident postmortem,
utility,979,475,504,1121,2100,0.4851889683350358,0.454001429189505,0.5164922860076572,0.47924897761871327,0.431061247139193,0.5272171086133158,28,2000,translation,,,High vs low utility,Translation,
utility,548,286,262,652,1200,0.5218978102189781,0.48006832922712006,0.5634224227205297,0.5130666879065835,0.44806214964273555,0.577105507932269,16,2000,,deepseek-v3.2-or,,High vs low utility,,DeepSeek V3.2
utility,525,268,257,675,1200,0.5104761904761905,0.46779508034993683,0.5530051043113223,0.5117759742132206,0.4635111638096407,0.5628248426386917,16,2000,,gpt-5.4-mini-or,,High vs low utility,,GPT-5.4 mini
utility,546,277,269,654,1200,0.5073260073260073,0.4654866827491578,0.5490629658298316,0.5127918993160379,0.4538907373204039,0.5717987059518029,16,2000,,glm-5.1-or,,High vs low utility,,GLM-5.1
utility,534,287,247,666,1200,0.5374531835205992,0.49504729572017925,0.5793240628725678,0.5364131182188638,0.4752549196459107,0.5995934027579862,16,2000,,kimi-k2.5-or,,High vs low utility,,Kimi K2.5
utility,690,340,350,510,1200,0.4927536231884058,0.4555937710426303,0.5299937145812517,0.4902105800062055,0.43108965045867137,0.5522844233018015,16,2000,,mimo-v25-pro-or,,High vs low utility,,MiMo V2.5 Pro
utility,576,304,272,624,1200,0.5277777777777778,0.48695908555244993,0.5682284135702982,0.5208065664341563,0.4490856171324931,0.5967228251324945,16,2000,,qwen3.5-9b-or,,High vs low utility,,Qwen3.5 9B
utility,446,221,225,754,1200,0.49551569506726456,0.44935089742355366,0.5417570809062195,0.4967840973203245,0.42149331721279,0.5725295585137544,16,2000,,qwen3.6-plus-or,,High vs low utility,,Qwen3.6 Plus
utility,1010,507,503,1090,2100,0.501980198019802,0.4711954544711519,0.532749935574993,0.5005418466852972,0.45293093984953664,0.5475228211054992,28,2000,,,animals,High vs low utility,,
utility,923,432,491,1177,2100,0.46803900325027087,0.43604744473992946,0.500295497800566,0.46249281823515515,0.4147311612001417,0.5102700350427485,28,2000,,,countries,High vs low utility,,
utility,974,565,409,1126,2100,0.580082135523614,0.5488315971125926,0.6107034671790572,0.5831307717526242,0.5374153310871972,0.6274821382012544,28,2000,,,political,High vs low utility,,
utility,958,479,479,1142,2100,0.5,0.4684015085800137,0.5315984914199863,0.5006053767071476,0.4561133618800999,0.5425901565081662,28,2000,,,religions,High vs low utility,,
