actor,actor_label,task,task_label,run_id,run_dir,n_pairs,complete_pairs,left_wins,right_wins,ties,unresolved,n_excluding_ties,left_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive,familywise_ci_method
kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__kimi-k2.5-or__2026-06-20_18-20-28Z__hash-8d58261d2f60,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__kimi-k2.5-or__2026-06-20_18-20-28Z__hash-8d58261d2f60,150,150,61,26,63,0,87,0.7011494252873564,0.5307422737896008,0.8396014849855682,True,0.0002236893560948182,0.004697476477991182,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__kimi-k2.5-or__2026-06-20_18-56-26Z__hash-48bd6e207a01,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__kimi-k2.5-or__2026-06-20_18-56-26Z__hash-48bd6e207a01,150,150,48,33,69,0,81,0.5925925925925926,0.4139218723366049,0.7555234556133343,False,0.1192736683117644,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,translation,Translation,translation__user_prompt_role__kimi-k2.5-or__2026-06-20_18-51-25Z__hash-0494a0872a8a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__kimi-k2.5-or__2026-06-20_18-51-25Z__hash-0494a0872a8a,150,150,26,28,96,0,54,0.48148148148148145,0.2733979883709331,0.6942321307168402,False,0.8919231511047488,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,essay__user_prompt_role__mimo-v25-pro-or__2026-06-20_17-24-41Z__hash-e67181c7895f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__mimo-v25-pro-or__2026-06-20_17-24-41Z__hash-e67181c7895f,150,150,51,23,76,0,74,0.6891891891891891,0.5028029335511082,0.8403644870774737,True,0.0015162236642818601,0.02729202595707348,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-20-39Z__hash-043a5a383970,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-20-39Z__hash-043a5a383970,150,150,53,42,55,0,95,0.5578947368421052,0.3939960478284922,0.7133824435265419,False,0.30488519070227593,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-56-56Z__hash-a7d287b836ea,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-56-56Z__hash-a7d287b836ea,150,150,70,28,52,0,98,0.7142857142857143,0.5552400967517509,0.8430430142278453,True,2.6402449757572137e-05,0.0006072563444241591,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,translation__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-51-37Z__hash-d76af07cd970,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-51-37Z__hash-d76af07cd970,150,150,42,34,74,0,76,0.5526315789473685,0.36978253363676994,0.7259615388789227,False,0.42219110499231566,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,essay__user_prompt_role__qwen3.5-9b-or__2026-06-20_17-24-46Z__hash-aa44f3aec959,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.5-9b-or__2026-06-20_17-24-46Z__hash-aa44f3aec959,150,150,23,27,100,0,50,0.46,0.2478176654267766,0.6830385905150042,False,0.6718110337653656,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-20-50Z__hash-8353f913c92d,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-20-50Z__hash-8353f913c92d,150,150,27,34,89,0,61,0.4426229508196721,0.2514533333517086,0.6466487899618647,False,0.4426260049464714,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__qwen3.5-9b-or__2026-06-20_19-27-56Z__hash-7fd3e51efa51,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__qwen3.5-9b-or__2026-06-20_19-27-56Z__hash-7fd3e51efa51,150,150,28,30,92,0,58,0.4827586206896552,0.2812987817517187,0.6882740981462832,False,0.8956832138895906,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,translation__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-51-47Z__hash-acbaef2c38c6,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-51-47Z__hash-acbaef2c38c6,150,150,46,62,42,0,108,0.42592592592592593,0.28127469462833066,0.5800605979144107,False,0.1485763476105624,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,essay__user_prompt_role__qwen3.6-plus-or__2026-06-20_17-24-50Z__hash-9a0977ad62b1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.6-plus-or__2026-06-20_17-24-50Z__hash-9a0977ad62b1,150,150,45,9,96,0,54,0.8333333333333334,0.6289035304743433,0.9528231841705922,True,7.288430776686282e-07,1.8949920019384333e-05,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-21-00Z__hash-cbf14d2a0180,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-21-00Z__hash-cbf14d2a0180,150,150,46,18,86,0,64,0.71875,0.5189978819378442,0.8715482152094584,True,0.0006173782640671298,0.012347565281342596,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-56-55Z__hash-af1b1a892fe1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-56-55Z__hash-af1b1a892fe1,150,150,45,22,83,0,67,0.6716417910447762,0.47460063480135056,0.8335032848734758,False,0.006741447363103123,0.10786315780964997,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,translation__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-51-57Z__hash-b0256b716c80,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-51-57Z__hash-b0256b716c80,150,150,31,23,96,0,54,0.5740740740740741,0.35631108197316147,0.7731612842956014,False,0.3408909412200971,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
