actor,task,item_id,item_label,repeat,source_block,pair_uid,cause_pair_label,moral_bad_label,panel_winner_condition,outcome,moral_bad_win_excluding_ties,r0_minus_moral_bad_net_score,source_moral_output_id,source_r0_output_id,source_moral_pair_uid,n_matching_vote_rows
deepseek-v3.2-or,essay,Governments should invest more in high-speed rail,Governments should invest more in high-speed rail,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r0:vb54f55cb281e,criminal_justice_04,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r0::b,r0:essay:deepseek-v3.2-or:iGovernments should invest more in high-speed rail:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r0,6
deepseek-v3.2-or,essay,Governments should regulate facial-recognition technology in public spaces,Governments should regulate facial-recognition technology in public spaces,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r0:vf9016e542a5d,cross_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r0::b,r0:essay:deepseek-v3.2-or:iGovernments should regulate facial-recognition technology in public spaces:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r0,6
deepseek-v3.2-or,essay,Governments should significantly increase space exploration funding,Governments should significantly increase space exploration funding,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r0:v0ef9d40944c6,cross_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r0::b,r0:essay:deepseek-v3.2-or:iGovernments should significantly increase space exploration funding:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r0,6
deepseek-v3.2-or,essay,High schools should start the day later to match teenage sleep patterns,High schools should start the day later to match teenage sleep patterns,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r0:vec961b469a22,cross_03,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r0::b,r0:essay:deepseek-v3.2-or:iHigh schools should start the day later to match teenage sleep patterns:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r0,6
deepseek-v3.2-or,essay,Libraries remain more important than ever in the digital age,Libraries remain more important than ever in the digital age,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r0:v7be60d44457c,cross_04,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r0::b,r0:essay:deepseek-v3.2-or:iLibraries remain more important than ever in the digital age:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r0,6
deepseek-v3.2-or,essay,Local news outlets should receive public funding,Local news outlets should receive public funding,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r0:v15447b9a0a1a,cross_05,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r0::b,r0:essay:deepseek-v3.2-or:iLocal news outlets should receive public funding:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r0,6
deepseek-v3.2-or,essay,National parks should limit daily visitor numbers to protect ecosystems,National parks should limit daily visitor numbers to protect ecosystems,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r0:vff9c11d20307,cross_06,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r0::b,r0:essay:deepseek-v3.2-or:iNational parks should limit daily visitor numbers to protect ecosystems:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r0,6
deepseek-v3.2-or,essay,Nutrition labels should appear on restaurant menus,Nutrition labels should appear on restaurant menus,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r0:v034ded450bd6,education_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r0::b,r0:essay:deepseek-v3.2-or:iNutrition labels should appear on restaurant menus:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r0,6
deepseek-v3.2-or,essay,Programming should be a mandatory subject in K-12 education,Programming should be a mandatory subject in K-12 education,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iProgramming should be a mandatory subject in K-12 education:r0:v3c1435e89fbc,education_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iProgramming should be a mandatory subject in K-12 education:r0::b,r0:essay:deepseek-v3.2-or:iProgramming should be a mandatory subject in K-12 education:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iProgramming should be a mandatory subject in K-12 education:r0,6
deepseek-v3.2-or,essay,Public museums should be free to all visitors,Public museums should be free to all visitors,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iPublic museums should be free to all visitors:r0:v7f6c4bdcbb6c,education_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iPublic museums should be free to all visitors:r0::b,r0:essay:deepseek-v3.2-or:iPublic museums should be free to all visitors:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iPublic museums should be free to all visitors:r0,6
deepseek-v3.2-or,essay,Public parks should replace some lawns with native plants,Public parks should replace some lawns with native plants,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iPublic parks should replace some lawns with native plants:r0:vb493eb33ebe9,education_04,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iPublic parks should replace some lawns with native plants:r0::b,r0:essay:deepseek-v3.2-or:iPublic parks should replace some lawns with native plants:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iPublic parks should replace some lawns with native plants:r0,6
deepseek-v3.2-or,essay,Remote work should become the default for most companies,Remote work should become the default for most companies,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iRemote work should become the default for most companies:r0:v1f3abb9c3a2b,gun_safety_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iRemote work should become the default for most companies:r0::b,r0:essay:deepseek-v3.2-or:iRemote work should become the default for most companies:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iRemote work should become the default for most companies:r0,6
deepseek-v3.2-or,essay,Schools should ban smartphones during instructional hours,Schools should ban smartphones during instructional hours,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iSchools should ban smartphones during instructional hours:r0:v85a87bd0a5c7,gun_safety_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iSchools should ban smartphones during instructional hours:r0::b,r0:essay:deepseek-v3.2-or:iSchools should ban smartphones during instructional hours:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iSchools should ban smartphones during instructional hours:r0,6
deepseek-v3.2-or,essay,Schools should teach financial literacy starting in middle school,Schools should teach financial literacy starting in middle school,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iSchools should teach financial literacy starting in middle school:r0:v3751126fa512,healthcare_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iSchools should teach financial literacy starting in middle school:r0::b,r0:essay:deepseek-v3.2-or:iSchools should teach financial literacy starting in middle school:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iSchools should teach financial literacy starting in middle school:r0,6
deepseek-v3.2-or,essay,Single-use plastics should be phased out nationwide,Single-use plastics should be phased out nationwide,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iSingle-use plastics should be phased out nationwide:r0:v0614f83fad28,healthcare_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iSingle-use plastics should be phased out nationwide:r0::b,r0:essay:deepseek-v3.2-or:iSingle-use plastics should be phased out nationwide:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iSingle-use plastics should be phased out nationwide:r0,6
deepseek-v3.2-or,essay,Social media platforms should verify the age of their users,Social media platforms should verify the age of their users,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iSocial media platforms should verify the age of their users:r0:v7c4ea183c908,healthcare_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iSocial media platforms should verify the age of their users:r0::b,r0:essay:deepseek-v3.2-or:iSocial media platforms should verify the age of their users:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iSocial media platforms should verify the age of their users:r0,6
deepseek-v3.2-or,essay,Universities should make tuition free for low-income students,Universities should make tuition free for low-income students,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iUniversities should make tuition free for low-income students:r0:vffe98ecaf0f8,housing_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iUniversities should make tuition free for low-income students:r0::b,r0:essay:deepseek-v3.2-or:iUniversities should make tuition free for low-income students:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iUniversities should make tuition free for low-income students:r0,6
deepseek-v3.2-or,essay,Universities should reduce reliance on standardized test scores in admissions,Universities should reduce reliance on standardized test scores in admissions,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iUniversities should reduce reliance on standardized test scores in admissions:r0:vfd42d3a50064,housing_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iUniversities should reduce reliance on standardized test scores in admissions:r0::b,r0:essay:deepseek-v3.2-or:iUniversities should reduce reliance on standardized test scores in admissions:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iUniversities should reduce reliance on standardized test scores in admissions:r0,6
deepseek-v3.2-or,essay,Voting should be made mandatory for all eligible citizens,Voting should be made mandatory for all eligible citizens,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iVoting should be made mandatory for all eligible citizens:r0:v503ef5e8458c,labor_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iVoting should be made mandatory for all eligible citizens:r0::b,r0:essay:deepseek-v3.2-or:iVoting should be made mandatory for all eligible citizens:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iVoting should be made mandatory for all eligible citizens:r0,6
deepseek-v3.2-or,essay,Workplaces should give employees the right to disconnect after hours,Workplaces should give employees the right to disconnect after hours,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iWorkplaces should give employees the right to disconnect after hours:r0:ve50a3fa60055,labor_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iWorkplaces should give employees the right to disconnect after hours:r0::b,r0:essay:deepseek-v3.2-or:iWorkplaces should give employees the right to disconnect after hours:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iWorkplaces should give employees the right to disconnect after hours:r0,6
deepseek-v3.2-or,essay,Childhood vaccination should be required for public school enrollment,Childhood vaccination should be required for public school enrollment,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r1:v6b8cb9c293e3,labor_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r1::b,r0:essay:deepseek-v3.2-or:iChildhood vaccination should be required for public school enrollment:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r1,6
deepseek-v3.2-or,essay,Cities should cap the number of short-term rental listings,Cities should cap the number of short-term rental listings,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r1:v4e7e7e2dee39,mental_health_01,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r1::b,r0:essay:deepseek-v3.2-or:iCities should cap the number of short-term rental listings:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r1,6
deepseek-v3.2-or,essay,Cities should expand bike-lane networks at the expense of street parking,Cities should expand bike-lane networks at the expense of street parking,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r1:vd07a5e65b3ac,mental_health_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r1::b,r0:essay:deepseek-v3.2-or:iCities should expand bike-lane networks at the expense of street parking:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r1,6
deepseek-v3.2-or,essay,Cities should offer free public transit during pollution alerts,Cities should offer free public transit during pollution alerts,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r1:vfed376586cc9,poverty_01,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r1::b,r0:essay:deepseek-v3.2-or:iCities should offer free public transit during pollution alerts:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r1,6
deepseek-v3.2-or,essay,Cities should prioritize public transit over highway expansion,Cities should prioritize public transit over highway expansion,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r1:va16676e28334,poverty_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r1::b,r0:essay:deepseek-v3.2-or:iCities should prioritize public transit over highway expansion:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r1,6
deepseek-v3.2-or,essay,College athletes should be paid for their work,College athletes should be paid for their work,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r1:v0d4164cf9e21,poverty_03,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r1::b,r0:essay:deepseek-v3.2-or:iCollege athletes should be paid for their work:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r1,6
deepseek-v3.2-or,essay,Companies should adopt four-day work weeks where feasible,Companies should adopt four-day work weeks where feasible,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r1:v33597527ba66,privacy_ai_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r1::b,r0:essay:deepseek-v3.2-or:iCompanies should adopt four-day work weeks where feasible:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r1,6
deepseek-v3.2-or,essay,Companies should disclose the carbon footprint of their products,Companies should disclose the carbon footprint of their products,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r1:vd8d8391f8144,privacy_ai_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r1::b,r0:essay:deepseek-v3.2-or:iCompanies should disclose the carbon footprint of their products:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r1,6
deepseek-v3.2-or,essay,Employers should offer paid family leave,Employers should offer paid family leave,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r1:v8682aff28501,privacy_ai_03,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r1::b,r0:essay:deepseek-v3.2-or:iEmployers should offer paid family leave:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r1,6
deepseek-v3.2-or,essay,Gig-economy workers should be classified as employees,Gig-economy workers should be classified as employees,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r1:v17c3400d2bf4,privacy_ai_04,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r1::b,r0:essay:deepseek-v3.2-or:iGig-economy workers should be classified as employees:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r1,6
deepseek-v3.2-or,essay,Governments should invest more in high-speed rail,Governments should invest more in high-speed rail,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r1:vdc48e7f43b85,civil_rights_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r1::b,r0:essay:deepseek-v3.2-or:iGovernments should invest more in high-speed rail:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should invest more in high-speed rail:r1,6
deepseek-v3.2-or,essay,Governments should regulate facial-recognition technology in public spaces,Governments should regulate facial-recognition technology in public spaces,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r1:v0f1a49b421b9,civil_rights_02,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r1::b,r0:essay:deepseek-v3.2-or:iGovernments should regulate facial-recognition technology in public spaces:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should regulate facial-recognition technology in public spaces:r1,6
deepseek-v3.2-or,essay,Governments should significantly increase space exploration funding,Governments should significantly increase space exploration funding,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r1:v69f475bd5e41,civil_rights_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r1::b,r0:essay:deepseek-v3.2-or:iGovernments should significantly increase space exploration funding:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGovernments should significantly increase space exploration funding:r1,6
deepseek-v3.2-or,essay,High schools should start the day later to match teenage sleep patterns,High schools should start the day later to match teenage sleep patterns,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r1:vdc704be898df,civil_rights_04,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r1::b,r0:essay:deepseek-v3.2-or:iHigh schools should start the day later to match teenage sleep patterns:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iHigh schools should start the day later to match teenage sleep patterns:r1,6
deepseek-v3.2-or,essay,Libraries remain more important than ever in the digital age,Libraries remain more important than ever in the digital age,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r1:vdf84c5f91fae,climate_01,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r1::b,r0:essay:deepseek-v3.2-or:iLibraries remain more important than ever in the digital age:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iLibraries remain more important than ever in the digital age:r1,6
deepseek-v3.2-or,essay,Local news outlets should receive public funding,Local news outlets should receive public funding,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r1:vb0055602274e,climate_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r1::b,r0:essay:deepseek-v3.2-or:iLocal news outlets should receive public funding:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iLocal news outlets should receive public funding:r1,6
deepseek-v3.2-or,essay,National parks should limit daily visitor numbers to protect ecosystems,National parks should limit daily visitor numbers to protect ecosystems,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r1:va7086ac8a1ad,climate_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r1::b,r0:essay:deepseek-v3.2-or:iNational parks should limit daily visitor numbers to protect ecosystems:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iNational parks should limit daily visitor numbers to protect ecosystems:r1,6
deepseek-v3.2-or,essay,Nutrition labels should appear on restaurant menus,Nutrition labels should appear on restaurant menus,1,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r1:va18b45c4c680,criminal_justice_01,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r1::b,r0:essay:deepseek-v3.2-or:iNutrition labels should appear on restaurant menus:r1,modgrid_essay_moral:deepseek-v3.2-or:essay:iNutrition labels should appear on restaurant menus:r1,6
