actor,task,run_dir,expected_pairs,valid_pairs,complete_pairs,panel_user_strong,panel_user_normal,panel_tie,panel_unresolved
qwen3.6-plus-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.6-plus-or__2026-06-20_17-24-50Z__hash-9a0977ad62b1,150,150,150,45,9,96,0
deepseek-v3.2-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-20-08Z__hash-3e0d51f38b3d,150,150,150,55,29,66,0
glm-5.1-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__glm-5.1-or__2026-06-20_18-36-12Z__hash-baf827bcd334,150,142,142,52,29,61,8
gpt-5.4-mini-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-19-27Z__hash-829cd922dad6,150,150,150,46,19,85,0
kimi-k2.5-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__kimi-k2.5-or__2026-06-20_18-20-28Z__hash-8d58261d2f60,150,150,150,61,26,63,0
mimo-v25-pro-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-20-39Z__hash-043a5a383970,150,150,150,53,42,55,0
qwen3.5-9b-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-20-50Z__hash-8353f913c92d,150,150,150,27,34,89,0
qwen3.6-plus-or,grant_proposal_abstract,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-21-00Z__hash-cbf14d2a0180,150,150,150,46,18,86,0
deepseek-v3.2-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-56-18Z__hash-c9d23ed8cc38,150,150,150,34,44,72,0
glm-5.1-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__glm-5.1-or__2026-06-20_19-28-25Z__hash-170ef22f4ac4,150,150,150,53,20,77,0
gpt-5.4-mini-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-55-34Z__hash-f4f0b03c17c8,150,150,150,32,28,90,0
kimi-k2.5-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__kimi-k2.5-or__2026-06-20_18-56-26Z__hash-48bd6e207a01,150,150,150,48,33,69,0
mimo-v25-pro-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-56-56Z__hash-a7d287b836ea,150,150,150,70,28,52,0
qwen3.5-9b-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__qwen3.5-9b-or__2026-06-20_19-27-56Z__hash-7fd3e51efa51,150,150,150,28,30,92,0
qwen3.6-plus-or,incident_postmortem,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-56-55Z__hash-af1b1a892fe1,150,150,150,45,22,83,0
deepseek-v3.2-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-50-56Z__hash-132b1b231da4,150,150,150,38,37,75,0
glm-5.1-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__glm-5.1-or__2026-06-20_18-51-14Z__hash-35f101e776da,150,150,150,31,27,92,0
gpt-5.4-mini-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-51-05Z__hash-15cfeeb1a17d,150,150,150,29,22,99,0
kimi-k2.5-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__kimi-k2.5-or__2026-06-20_18-51-25Z__hash-0494a0872a8a,150,150,150,26,28,96,0
mimo-v25-pro-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__mimo-v25-pro-or__2026-06-20_18-51-37Z__hash-d76af07cd970,150,150,150,42,34,74,0
qwen3.5-9b-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__qwen3.5-9b-or__2026-06-20_18-51-47Z__hash-acbaef2c38c6,150,150,150,46,62,42,0
qwen3.6-plus-or,translation,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__qwen3.6-plus-or__2026-06-20_18-51-57Z__hash-b0256b716c80,150,150,150,31,23,96,0
