coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",B,left,1.0,"Both outputs use the Smithsonian example well. However, Output B integrates it more effectively into a counterargument/rebuttal structure, showing how free admission can actually lead to 'significant economic dividends for the broader community' through increased local spending, which is a more specific and useful application of the example to support its argument."
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,B,left,1.0,Output B explicitly addresses a counterargument ('While some argue that admission fees are necessary to sustain institutions' and 'Critics often argue that free admission strains museum budgets') and then refutes it with economic reasoning and the Smithsonian example. Output A does not directly address counterarguments.
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",tie,tie,0.0,"Both essays demonstrate good paragraph flow, transitions, and provide a clear synthesis in their conclusions. Neither is meaningfully better than the other in this regard."
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",tie,tie,0.0,"Both essays maintain a plausible and well-supported tone throughout. Neither makes exaggerated, awkward, unsupported, or factually dubious claims."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,problem_significance,"Which abstract more clearly states the need, affected population, and consequence of the problem?",tie,tie,0.0,"Both abstracts effectively highlight the problem of energy insecurity, its impact on low-income households, and the reasons for low utilization of existing assistance programs. Both mention the 'heat or eat' dilemma and its consequences."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",A,left,1.0,"Output A provides more concrete details about the intervention, including the number of navigators (ten), their location (three community centers, mobile units), and the specific target number of households (1,200). It also quantifies the expected reduction in application time (60%). Output B is slightly more general, mentioning 'trained community health workers' and a 'simplified, multilingual digital platform' without as many specific numbers or locations."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",B,right,-1.0,"Output B proposes a Randomized Controlled Trial (RCT) design, which is generally considered the gold standard for evaluating intervention efficacy, providing stronger evidence of causality compared to Output A's quasi-experimental design with a matched control group. Both describe good qualitative and quantitative measures."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,feasibility_implementation_readiness,"Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",A,left,1.0,"Output A provides more specific and credible evidence of feasibility, including secured MOUs with two major local utility providers and three community health clinics, and five years of experience managing similar social service navigation programs by the lead organization. Output B mentions established partnerships but is less specific about the nature of these agreements (e.g., 'letters of commitment' vs. MOUs) and its 'preliminary pilot data' is less detailed than A's organizational experience."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,risk_mitigation,Which abstract identifies more realistic risks and more credible mitigation plans?,A,left,1.0,"Output A identifies more realistic risks (fluctuating funding, navigator burnout) and provides more concrete mitigation strategies (diversified funding, rotational staffing, mental health support, flexible reserve fund). Output B's mitigation for 'resistance from utility providers regarding data sharing' is less detailed than A's comprehensive plan."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,measurable_impact,"Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",A,left,1.0,"Output A provides more concrete and quantifiable expected impacts, such as securing an average of $1,500 in immediate financial relief per household, totaling $1.8 million, and a measurable decrease in energy-related health emergencies. Output B's impact claims are slightly more general, focusing on 'improvements in public health outcomes' and 'stabilize household budgets' without specific monetary or health metrics."
utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,stakeholder_context_fit,Which abstract better fits the affected community or deployment setting?,A,left,1.0,"Output A emphasizes recruiting and training Certified Energy Navigators 'from within the target communities, ensuring cultural competency and trust' and operating out of 'established community centers and via mobile outreach units.' It also mentions a triage system for vulnerable populations. This demonstrates a slightly stronger understanding and integration with the affected community's context compared to B's more general 'CHWs recruited from the communities they serve.'"
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,fluency_idiomaticity,Which translation reads more naturally and idiomatically in English?,tie,tie,0.0,Both translations are equally fluent and idiomatic in English.
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,terminology_precision,Which translation uses more domain-appropriate terminology?,tie,tie,0.0,Both translations use appropriate terminology for the context.
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,named_entity_fidelity,"Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",tie,tie,0.0,"Both translations correctly render the named entities 'Huigong Road', 'Wanda Plaza', and 'Nanping commercial district'."
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,numeric_factual_fidelity,"Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",tie,tie,0.0,"Both translations accurately preserve the numbers '300' and '40,000'."
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,additions_omissions,Which translation has fewer unsupported additions and fewer omissions of source meaning?,tie,tie,0.0,Neither translation has unsupported additions or omissions of source meaning.
utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,utility_high,framed_empty,structural_clarity,"Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",tie,tie,0.0,Both translations maintain clear structural clarity and preserve source relations effectively.
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"A provides more specific numbers for affected records (184 duplicate assignments across 67 volunteer records, 23 volunteers received conflicting notifications, 5 shifts overfilled) and quantifies coordinator time spent (6 staff-hours). B gives 312 records duplicated across 47 slots, 28 volunteers, and 6 person-hours, which is also good, but A's breakdown feels slightly more granular."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"A provides a more detailed timeline with more distinct events and precise timestamps, including when the import started, completed, detection by coordinators and volunteers, incident triage, tracing, pausing, manual deduplication, and cleanup completion. B is good but has fewer distinct events and slightly larger time gaps."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"A more clearly articulates the proximate technical failure (import logic treating each row as new despite source duplicates) and the deeper system failure (reliance on manual data hygiene and application-level checks instead of durable storage-level safeguards, specifically lack of database uniqueness constraints). B is similar but A's explanation of 'systems design gap' vs 'single-point coding error' is more precise."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"A provides a clearer and more distinct list of contributing factors, separating non-idempotent logic, weak uniqueness constraints, repeated source records, lack of dry-run validation, and insufficient monitoring. B's factors are good but 'Missing idempotency' and 'Repeat processing of unchanged input' are very closely related, and 'Operational dependence on batch imports' is less of a technical contributing factor and more of a context."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"A explicitly lists 'Insufficient monitoring' as a contributing factor and states 'There was no alert for sudden increases in assignments per shift or duplicate notification volume.' B mentions 'Insufficient validation and alerts' and 'Duplicate creation did not trigger any alert,' but A's explanation is slightly more detailed regarding what was missing."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",A,left,1.0,"A's action items are more concrete, each including an owner and a due date, which makes them more actionable and measurable. B's action items are good but lack owners and due dates."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both A and B maintain a blameless tone, focusing on system design, process gaps, and technical failures rather than individual errors. They both use phrases like 'design gap' and 'incomplete data model' to frame the issues."
utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,framed_empty,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,A,left,1.0,"A feels slightly more like a real engineering postmortem due to its detailed timeline, specific quantification of impact, and the inclusion of owners and due dates for action items, which are common practices in real-world incident management."
utility_high_vs_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:iadaptive-tutoring-for-community-college-algebra:r4:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a:modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,utility_high_vs_framed_empty,arm_match,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,problem_significance,"Which abstract more clearly states the need, affected population, and consequence of the problem?",tie,tie,0.0,"Both abstracts clearly state the problem of high failure rates in community college algebra, its impact on underrepresented students, and the limitations of traditional approaches."
utility_high_vs_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:iadaptive-tutoring-for-community-college-algebra:r4:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a:modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,utility_high_vs_framed_empty,arm_match,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",B,right,-1.0,"Output B provides more specific details about the adaptive tutoring system (BRIDGE), including its hybrid approach (rule-based engine + machine learning), specific features like dynamic problem generation with hints/video explanations, and a 'nudging' module. Output A is more general in its description of the intelligent tutoring platform."
utility_high_vs_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:iadaptive-tutoring-for-community-college-algebra:r4:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a:modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,utility_high_vs_framed_empty,arm_match,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,utility_high,framed_empty,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",B,right,-1.0,"Output B specifies a more concrete number of students (approximately 600) and sections (four using BRIDGE vs. four control) for its quasi-experimental study. It also adds 'standardized final exam scores' as a quantitative metric and mentions assessing impact on 'confidence, anxiety, and sense of belonging' through qualitative data, which adds depth."
